Date,Product,Sales,Region,Profit
14-01-2023,Laptop,635.18,South,183.71
14-01-2023,Monitor,1306.34,North,378.67
14-01-2023,Tablet,740.27,North,83.68
15-01-2023,Laptop,1184.36,Central,195.84
15-01-2023,Laptop,860.46,East,141.29
15-01-2023,Monitor,798.13,South,230.22
15-01-2023,Tablet,272.49,North,69.69
15-01-2023,Keyboard,39.53,South,15.6
16-01-2023,Keyboard,70.89,East,22.38
17-01-2023,Monitor,980.91,South,325.66
17-01-2023,Laptop,768.95,North,264.59
17-01-2023,Mouse,43.93,North,16.99
18-01-2023,Laptop,1359,North,318.23
18-01-2023,Smartphone,879.04,North,166.69
19-01-2023,Keyboard,22.93,Central,7.66
20-01-2023,Smartphone,502.78,West,121.86
20-01-2023,Laptop,1101.47,North,366.4
20-01-2023,Smartphone,655.51,North,105.67
20-01-2023,Tablet,526.66,Central,118.89
20-01-2023,Mouse,97.21,West,24.75
21-01-2023,Smartphone,481.48,North,52.12
21-01-2023,Tablet,163.26,Central,40.02
21-01-2023,Tablet,414.24,North,119.56
21-01-2023,Smartphone,359.22,South,46.56
21-01-2023,Smartphone,806.57,Central,158.01
22-01-2023,Laptop,1321.58,South,243.12
22-01-2023,Smartphone,616.12,South,83.61
23-01-2023,Monitor,1487.18,North,484.18
23-01-2023,Monitor,606.71,East,115.01
24-01-2023,Laptop,355.38,Central,116.11
24-01-2023,Mouse,68.72,West,14.28
24-01-2023,Tablet,719.55,North,166.65
24-01-2023,Smartphone,379.16,North,41.01
24-01-2023,Keyboard,24.69,Central,6.22
25-01-2023,Smartphone,265.94,West,48.26
25-01-2023,Monitor,1134.4,West,358.84
25-01-2023,Monitor,850.21,West,185.28
25-01-2023,Monitor,1064.73,North,203.42
26-01-2023,Mouse,20.07,South,4.4
26-01-2023,Keyboard,86.11,South,32.13
26-01-2023,Mouse,72.57,Central,21.14
27-01-2023,Smartphone,449.1,West,65.7
27-01-2023,Monitor,743.51,East,184.59
27-01-2023,Tablet,227.85,North,33.24
27-01-2023,Keyboard,61.49,West,12.64
27-01-2023,Mouse,39.15,Central,15.05
27-01-2023,Laptop,1231.21,South,246.41
28-01-2023,Monitor,1277.12,South,229.9
28-01-2023,Tablet,758.1,South,154.75
29-01-2023,Keyboard,69.4,East,24.37
29-01-2023,Tablet,270.93,West,39.11
29-01-2023,Mouse,62.97,West,13.29
30-01-2023,Mouse,56.06,East,22.11
30-01-2023,Monitor,1065.55,North,204.05
30-01-2023,Tablet,830.49,Central,120.47
31-01-2023,Smartphone,408.54,West,120.1
31-01-2023,Monitor,542.39,West,157.52
31-01-2023,Keyboard,59.24,South,13.5
31-01-2023,Mouse,23.78,West,7.88
31-01-2023,Keyboard,80.42,East,30.03
01-02-2023,Keyboard,66.39,East,22.18
01-02-2023,Monitor,1496.99,West,504.76
02-02-2023,Monitor,879.14,North,285.29
02-02-2023,Keyboard,45.89,South,10.46
02-02-2023,Keyboard,85.51,West,23.1
03-02-2023,Monitor,475.47,Central,119.69
03-02-2023,Tablet,360.97,South,63.28
04-02-2023,Laptop,500.32,East,151.8
05-02-2023,Monitor,1139.53,North,317.73
06-02-2023,Monitor,434.55,West,126.1
06-02-2023,Monitor,529.09,South,168.08
06-02-2023,Tablet,280.45,East,72.51
06-02-2023,Smartphone,631.38,West,74.19
06-02-2023,Mouse,77.78,South,17.89
06-02-2023,Laptop,339.29,West,115.53
06-02-2023,Monitor,948.99,West,237.33
07-02-2023,Keyboard,70.33,West,21.02
07-02-2023,Tablet,262.88,South,41.24
08-02-2023,Smartphone,850.95,North,200.55
08-02-2023,Tablet,547.4,East,75.14
09-02-2023,Mouse,76.75,Central,17.96
09-02-2023,Laptop,696.37,North,136.59
09-02-2023,Monitor,715.06,North,120.69
09-02-2023,Laptop,1415.91,Central,424.53
09-02-2023,Mouse,67.32,North,19.93
10-02-2023,Smartphone,617.69,South,164.45
10-02-2023,Monitor,1347.84,West,316.92
10-02-2023,Smartphone,684.55,South,110.74
10-02-2023,Laptop,1217.91,East,195.25
10-02-2023,Monitor,562.39,South,147.07
11-02-2023,Tablet,292.07,East,51.49
11-02-2023,Smartphone,839.28,North,224.76
11-02-2023,Laptop,808.05,West,225.76
11-02-2023,Smartphone,436.86,South,77.09
11-02-2023,Monitor,1125.72,North,176.22
11-02-2023,Smartphone,439.07,North,103.88
12-02-2023,Keyboard,57.88,East,21.84
12-02-2023,Smartphone,804.05,East,178.88
12-02-2023,Mouse,90.79,North,35.96
12-02-2023,Keyboard,28.19,South,9.73
12-02-2023,Laptop,1139.66,East,256.13
12-02-2023,Mouse,79.96,Central,17.98
13-02-2023,Laptop,433.07,East,75.52
13-02-2023,Keyboard,69.03,Central,21.55
13-02-2023,Keyboard,72.28,South,23.39
13-02-2023,Tablet,433.06,Central,68.01
13-02-2023,Laptop,1217.4,South,297.55
13-02-2023,Mouse,84.36,Central,16.92
14-02-2023,Smartphone,620.15,East,171.37
14-02-2023,Keyboard,50.7,West,11.65
14-02-2023,Keyboard,41.88,South,12.85
14-02-2023,Laptop,1411.06,North,444.35
14-02-2023,Keyboard,91.41,East,27.42
14-02-2023,Keyboard,69.48,North,27
14-02-2023,Keyboard,36.2,East,7.77
15-02-2023,Mouse,91.06,South,34.91
15-02-2023,Keyboard,36.11,South,13.07
16-02-2023,Monitor,644.86,North,117.41
16-02-2023,Monitor,1051.93,South,211.98
17-02-2023,Monitor,1053.17,West,172.79
17-02-2023,Laptop,899.52,North,183.42
17-02-2023,Monitor,633.1,Central,149.55
18-02-2023,Laptop,1493.73,South,521.42
18-02-2023,Smartphone,180.18,South,39.71
18-02-2023,Monitor,715.72,East,134.35
19-02-2023,Monitor,1393.95,West,441.92
19-02-2023,Smartphone,370.63,West,59.41
19-02-2023,Smartphone,754.11,East,84.94
19-02-2023,Monitor,536.01,North,93.61
19-02-2023,Mouse,88.26,Central,29.52
19-02-2023,Smartphone,543.51,East,153.35
20-02-2023,Tablet,839.07,South,245.82
20-02-2023,Keyboard,73.23,Central,26.12
20-02-2023,Tablet,220.84,East,31.22
21-02-2023,Monitor,550.04,North,131.72
21-02-2023,Monitor,1079.23,North,376.91
23-02-2023,Keyboard,64.93,South,21.48
23-02-2023,Laptop,423.46,North,135.5
23-02-2023,Monitor,487.09,East,85.94
23-02-2023,Smartphone,163.53,West,20.28
23-02-2023,Monitor,317.04,Central,72.46
23-02-2023,Laptop,1016.24,North,285.6
23-02-2023,Mouse,65.61,West,20.26
24-02-2023,Smartphone,437.83,South,82.6
24-02-2023,Tablet,255.99,North,73.72
24-02-2023,Mouse,64.16,North,20.28
24-02-2023,Mouse,38.79,North,8.86
25-02-2023,Mouse,41.5,West,12.35
25-02-2023,Tablet,585.73,Central,84.89
25-02-2023,Monitor,944.45,Central,283.95
26-02-2023,Monitor,634.06,South,154.28
26-02-2023,Monitor,905.16,East,206.55
26-02-2023,Laptop,1082.95,Central,271.93
26-02-2023,Laptop,1165.86,West,347.94
27-02-2023,Smartphone,419.68,Central,124.07
27-02-2023,Tablet,462.07,Central,98.28
27-02-2023,Monitor,572.01,South,166.88
27-02-2023,Smartphone,472.01,East,73.25
27-02-2023,Smartphone,687.76,South,123.36
27-02-2023,Mouse,44.8,West,12.84
28-02-2023,Laptop,935.06,East,309.6
28-02-2023,Smartphone,417.4,West,42.71
28-02-2023,Keyboard,28.31,Central,6.06
28-02-2023,Tablet,872.03,West,144.77
28-02-2023,Smartphone,722.03,North,73.77
01-03-2023,Laptop,641.64,West,148.58
01-03-2023,Keyboard,89.05,West,18.28
01-03-2023,Tablet,294.89,East,43.21
01-03-2023,Monitor,1332.19,North,348.85
02-03-2023,Mouse,71.83,North,19.31
02-03-2023,Monitor,1405.58,West,411.11
02-03-2023,Laptop,804.12,North,275.17
03-03-2023,Laptop,873.9,East,284.78
03-03-2023,Smartphone,395.86,North,72.22
03-03-2023,Tablet,178.28,North,19.22
03-03-2023,Tablet,612.48,East,78.03
04-03-2023,Mouse,83.95,Central,20.4
05-03-2023,Smartphone,483.35,South,133.08
05-03-2023,Smartphone,206.64,East,34.41
06-03-2023,Keyboard,67.71,South,20.75
06-03-2023,Mouse,45.88,Central,11.46
07-03-2023,Tablet,505.92,East,103.3
07-03-2023,Monitor,379.21,West,126.89
07-03-2023,Mouse,78.6,South,19.16
07-03-2023,Monitor,793.49,East,129.16
07-03-2023,Tablet,465.48,South,102.75
08-03-2023,Laptop,643.5,North,106.32
08-03-2023,Mouse,42.33,South,14.36
08-03-2023,Keyboard,89.19,North,26.72
08-03-2023,Smartphone,214.81,North,42.17
09-03-2023,Mouse,40.1,East,8.66
09-03-2023,Monitor,1125.48,North,383.1
09-03-2023,Mouse,47.27,West,14.06
09-03-2023,Mouse,37.08,South,8.18
10-03-2023,Mouse,29.62,East,8.39
10-03-2023,Mouse,31.15,West,7.17
10-03-2023,Smartphone,197.36,East,24.75
11-03-2023,Keyboard,73,North,21.12
11-03-2023,Smartphone,639.88,East,123.19
12-03-2023,Tablet,719.46,West,83.71
12-03-2023,Tablet,482.25,West,108.15
12-03-2023,Monitor,383.91,North,74.71
12-03-2023,Smartphone,238.13,Central,44.33
12-03-2023,Tablet,719.26,South,215.67
12-03-2023,Mouse,59.84,East,19.46
12-03-2023,Keyboard,35.13,West,11.49
12-03-2023,Monitor,1322.28,Central,395.83
13-03-2023,Monitor,905.57,Central,238.16
13-03-2023,Keyboard,72.93,South,26.83
13-03-2023,Laptop,546.84,North,147.62
13-03-2023,Mouse,65.15,South,20.61
13-03-2023,Tablet,409.89,North,83
14-03-2023,Smartphone,770.76,Central,156.94
14-03-2023,Mouse,57.49,North,19.26
14-03-2023,Mouse,20.61,West,5.48
14-03-2023,Keyboard,65.47,Central,19.84
14-03-2023,Keyboard,76.93,West,27.31
15-03-2023,Mouse,42.7,North,9.98
15-03-2023,Smartphone,769.48,North,111.5
15-03-2023,Tablet,635.94,West,84.1
16-03-2023,Monitor,1129.87,Central,189.58
16-03-2023,Keyboard,33.36,Central,9.81
16-03-2023,Keyboard,21.1,West,6.21
17-03-2023,Keyboard,76.92,South,17.16
17-03-2023,Smartphone,568.62,East,154.77
17-03-2023,Monitor,904.38,East,183.09
17-03-2023,Mouse,44.98,East,16.23
17-03-2023,Laptop,1128.89,Central,242.71
19-03-2023,Keyboard,96.16,South,33.3
19-03-2023,Monitor,939.44,Central,290.36
19-03-2023,Mouse,99.55,East,39.35
19-03-2023,Monitor,465.94,Central,154.19
20-03-2023,Smartphone,892.02,South,126.88
20-03-2023,Keyboard,38.29,East,10.97
20-03-2023,Smartphone,837.76,West,132.98
20-03-2023,Monitor,752.74,North,162.46
20-03-2023,Laptop,1359.54,South,335.76
21-03-2023,Monitor,1397.73,East,339.22
21-03-2023,Monitor,1009.6,South,207.83
21-03-2023,Tablet,455.61,East,113.21
22-03-2023,Laptop,1307.09,West,196.7
22-03-2023,Tablet,239.21,South,31.53
22-03-2023,Monitor,391.49,East,110.76
22-03-2023,Laptop,1398.92,South,334.76
22-03-2023,Monitor,739.11,West,252.75
23-03-2023,Monitor,1091.31,West,295.91
23-03-2023,Tablet,200.64,South,32.09
24-03-2023,Tablet,676.03,East,84.77
24-03-2023,Smartphone,541.64,West,83.7
24-03-2023,Smartphone,205.54,West,42.54
24-03-2023,Tablet,602.52,East,124.54
24-03-2023,Tablet,553.71,East,83.07
25-03-2023,Monitor,1092.71,South,175.67
25-03-2023,Tablet,735.65,Central,108.5
25-03-2023,Laptop,942.91,East,247.73
26-03-2023,Mouse,36.42,Central,12.73
26-03-2023,Keyboard,74.51,West,20.65
26-03-2023,Mouse,55.28,North,15.39
26-03-2023,Mouse,88.02,South,24.51
26-03-2023,Laptop,989.57,East,185.78
26-03-2023,Tablet,570.98,South,124.2
26-03-2023,Smartphone,484.91,West,62.63
27-03-2023,Mouse,90.73,West,19.06
27-03-2023,Monitor,922.98,East,190.22
27-03-2023,Laptop,567.79,North,100.73
27-03-2023,Keyboard,81.63,South,31.31
27-03-2023,Keyboard,77.34,East,30.83
28-03-2023,Mouse,28.53,Central,10.59
28-03-2023,Smartphone,597.8,North,155.88
28-03-2023,Keyboard,80.22,Central,21.04
28-03-2023,Tablet,547.78,South,73.48
28-03-2023,Smartphone,389.99,North,45.27
29-03-2023,Tablet,237.98,Central,70.33
30-03-2023,Smartphone,572.47,South,64.59
30-03-2023,Laptop,944.22,Central,265.3
01-04-2023,Laptop,1289.61,North,243.85
02-04-2023,Laptop,771.53,Central,160.17
02-04-2023,Mouse,68.19,South,17.03
02-04-2023,Smartphone,219.51,Central,59.28
03-04-2023,Tablet,551.01,East,81.46
03-04-2023,Keyboard,49.93,South,15.41
03-04-2023,Monitor,678.45,North,119.65
04-04-2023,Keyboard,66.75,West,24.82
04-04-2023,Smartphone,386.41,North,107.43
04-04-2023,Keyboard,67.07,East,21.22
04-04-2023,Monitor,847.56,Central,230.19
05-04-2023,Mouse,56.34,Central,16.37
05-04-2023,Keyboard,31.95,Central,7.86
05-04-2023,Tablet,851.34,West,201.07
05-04-2023,Laptop,749.26,North,220.14
06-04-2023,Monitor,534.84,South,138.32
06-04-2023,Mouse,26,West,9.39
06-04-2023,Laptop,1182.37,South,300.36
06-04-2023,Laptop,594.21,Central,190.03
07-04-2023,Tablet,646.29,Central,193.81
07-04-2023,Smartphone,482.96,Central,99.85
07-04-2023,Mouse,55.15,West,20.94
08-04-2023,Mouse,56.24,North,14.4
08-04-2023,Monitor,667.22,South,154.97
08-04-2023,Smartphone,552.88,North,143.46
08-04-2023,Keyboard,44.74,North,13.09
09-04-2023,Keyboard,90.49,West,22.06
09-04-2023,Smartphone,591.56,Central,164.59
09-04-2023,Smartphone,840.14,West,243.05
09-04-2023,Keyboard,29.45,Central,10.89
09-04-2023,Laptop,1338.28,West,326.62
09-04-2023,Smartphone,788.22,Central,183.73
09-04-2023,Keyboard,59.23,Central,19.52
09-04-2023,Tablet,667.48,North,179.72
10-04-2023,Keyboard,99.04,West,35.79
10-04-2023,Laptop,456.17,South,105.86
10-04-2023,Monitor,894.65,East,280.33
10-04-2023,Laptop,475.91,South,96.44
10-04-2023,Monitor,321.7,East,55.18
10-04-2023,Keyboard,62.07,North,24.57
10-04-2023,Smartphone,838.07,East,193.17
10-04-2023,Smartphone,496.73,North,76.63
10-04-2023,Tablet,523.01,South,96.97
11-04-2023,Monitor,1398.64,South,238.73
11-04-2023,Monitor,1035.64,Central,356.01
12-04-2023,Laptop,1294.67,South,442.01
12-04-2023,Keyboard,35.38,Central,9.44
12-04-2023,Keyboard,45.9,Central,13.91
12-04-2023,Mouse,96.36,North,38.02
13-04-2023,Smartphone,856.78,South,232.47
14-04-2023,Tablet,412.34,South,48.59
14-04-2023,Keyboard,71.02,West,16.83
15-04-2023,Smartphone,426.52,North,122.72
15-04-2023,Monitor,711.71,West,112.28
15-04-2023,Monitor,1001.17,East,218.69
15-04-2023,Smartphone,448.69,South,96
15-04-2023,Tablet,444.64,East,94.61
16-04-2023,Keyboard,45.53,South,17.23
16-04-2023,Tablet,632.72,East,136.53
16-04-2023,Mouse,96.03,North,31.75
16-04-2023,Smartphone,370.63,West,60.72
16-04-2023,Monitor,872.8,North,300.9
17-04-2023,Smartphone,329.25,West,57.68
17-04-2023,Keyboard,42.65,South,13.26
17-04-2023,Keyboard,26.85,South,7.45
17-04-2023,Monitor,350.04,West,63.66
17-04-2023,Monitor,653.99,West,98.47
17-04-2023,Mouse,22.84,South,7.13
18-04-2023,Monitor,434.74,South,148.06
18-04-2023,Laptop,1438.88,North,474.71
18-04-2023,Smartphone,780.7,East,185.7
18-04-2023,Mouse,67.39,West,26.91
18-04-2023,Keyboard,31.78,East,9.32
19-04-2023,Laptop,725.29,West,198.9
19-04-2023,Laptop,935.82,Central,263.69
19-04-2023,Mouse,73.44,East,18.89
19-04-2023,Tablet,610.73,South,99.34
19-04-2023,Monitor,1497.55,East,229.85
19-04-2023,Monitor,510.34,North,135.63
20-04-2023,Smartphone,199.53,North,56.17
20-04-2023,Monitor,707.9,South,158.59
20-04-2023,Smartphone,410.57,Central,45.67
20-04-2023,Laptop,1482.1,South,432.19
20-04-2023,Keyboard,65.82,South,21.15
21-04-2023,Monitor,1409.92,East,485.89
21-04-2023,Tablet,453.91,South,62.79
21-04-2023,Keyboard,32.66,North,11.53
21-04-2023,Smartphone,230.07,West,44.12
21-04-2023,Monitor,1466.44,South,506.26
22-04-2023,Tablet,245.78,South,63.71
22-04-2023,Laptop,538.42,North,87.43
23-04-2023,Monitor,1476.02,Central,440.67
23-04-2023,Monitor,1123.19,South,246.47
24-04-2023,Mouse,29.11,South,11.06
24-04-2023,Mouse,21.91,Central,4.65
24-04-2023,Mouse,31.77,South,11.51
25-04-2023,Monitor,973.2,East,315
25-04-2023,Laptop,358.25,North,87.77
25-04-2023,Tablet,254.41,Central,52.79
25-04-2023,Monitor,895.86,South,178.63
25-04-2023,Tablet,291.11,North,84.35
26-04-2023,Laptop,1155.73,Central,274.6
26-04-2023,Keyboard,60.34,North,14.53
26-04-2023,Keyboard,96.16,South,33.72
26-04-2023,Monitor,1147.1,East,261.73
27-04-2023,Smartphone,158.45,North,30.52
27-04-2023,Smartphone,403.86,East,78.6
27-04-2023,Mouse,64.83,North,24.58
27-04-2023,Mouse,20.93,Central,5.53
28-04-2023,Monitor,1026.79,East,223.15
28-04-2023,Mouse,30.1,West,8.32
28-04-2023,Keyboard,22.91,East,6.18
28-04-2023,Smartphone,176.85,South,26.66
29-04-2023,Monitor,1210.95,Central,253.95
29-04-2023,Tablet,642.21,North,76
29-04-2023,Laptop,337.35,West,93.19
30-04-2023,Laptop,1340.42,East,363.58
30-04-2023,Keyboard,48.01,East,14.58
30-04-2023,Monitor,954.29,Central,241.42
30-04-2023,Laptop,466.48,East,137.21
01-05-2023,Mouse,28.47,North,6.22
01-05-2023,Keyboard,75.73,West,24.79
01-05-2023,Laptop,309.16,South,105.41
01-05-2023,Smartphone,704.14,Central,191.48
01-05-2023,Monitor,1185.63,North,236.49
02-05-2023,Laptop,758.75,West,126.42
02-05-2023,Keyboard,41.55,Central,14.79
02-05-2023,Keyboard,48.12,North,11.65
02-05-2023,Monitor,1300.79,West,336.61
02-05-2023,Tablet,304.12,East,75.31
02-05-2023,Monitor,599.45,Central,155.51
02-05-2023,Tablet,197.87,South,22.6
02-05-2023,Smartphone,452.41,South,117.27
02-05-2023,Mouse,67.5,West,20.76
03-05-2023,Tablet,385.7,North,75.83
03-05-2023,Smartphone,236.01,South,63.22
04-05-2023,Laptop,417.41,Central,94.76
04-05-2023,Monitor,526.23,North,110.5
04-05-2023,Smartphone,708.5,North,191.34
04-05-2023,Tablet,232.6,Central,68.52
04-05-2023,Tablet,542.08,West,110.78
04-05-2023,Keyboard,72.32,East,16.53
05-05-2023,Tablet,861.74,South,127.12
06-05-2023,Smartphone,329.74,Central,48.48
06-05-2023,Monitor,1431.13,West,241.46
07-05-2023,Mouse,36.54,East,11.85
07-05-2023,Tablet,479.24,Central,135.92
07-05-2023,Tablet,391.11,East,101.98
08-05-2023,Smartphone,588.73,South,150.28
09-05-2023,Monitor,321.74,South,95.28
09-05-2023,Monitor,493.3,North,87.71
09-05-2023,Mouse,65.53,South,15.93
09-05-2023,Laptop,852.68,South,177.58
11-05-2023,Monitor,1207.97,West,308.25
11-05-2023,Monitor,666.53,North,111.02
11-05-2023,Laptop,1201.43,Central,265.26
11-05-2023,Laptop,1489.6,East,285.23
11-05-2023,Keyboard,39.24,West,15.46
12-05-2023,Laptop,1279.23,North,430.81
12-05-2023,Smartphone,559.23,South,157.96
12-05-2023,Laptop,949.69,North,179.07
12-05-2023,Monitor,1199.61,East,185.54
12-05-2023,Monitor,611.36,Central,164.68
12-05-2023,Laptop,821.27,Central,273.2
12-05-2023,Mouse,57.8,Central,14.58
12-05-2023,Mouse,89.37,West,19.15
12-05-2023,Tablet,761.68,West,165.03
13-05-2023,Laptop,927.25,West,210.61
13-05-2023,Tablet,890.15,North,212.32
13-05-2023,Tablet,637.23,Central,182.64
13-05-2023,Monitor,1142.04,East,367.63
13-05-2023,Smartphone,752.73,Central,122.85
13-05-2023,Mouse,23.1,North,7.18
14-05-2023,Laptop,1332.79,South,333.78
14-05-2023,Smartphone,728.28,South,107.31
15-05-2023,Monitor,1394.42,Central,301.1
16-05-2023,Monitor,470.15,Central,93.8
16-05-2023,Laptop,1309.82,North,250.32
17-05-2023,Smartphone,467.9,West,67.52
18-05-2023,Keyboard,44,East,9.73
19-05-2023,Keyboard,69.25,South,14.45
19-05-2023,Smartphone,174.88,East,29.65
20-05-2023,Monitor,722.65,South,170.01
21-05-2023,Keyboard,62.48,West,13.48
21-05-2023,Keyboard,68.4,North,26.86
21-05-2023,Mouse,34.57,Central,11.48
21-05-2023,Keyboard,53.76,South,12.69
21-05-2023,Laptop,950.05,Central,319.92
21-05-2023,Laptop,781.57,East,190.88
21-05-2023,Mouse,53.79,North,16.77
22-05-2023,Monitor,1132.9,East,234.85
22-05-2023,Monitor,1119.08,East,247.29
22-05-2023,Laptop,1293.12,East,348.77
22-05-2023,Tablet,351.46,Central,40.37
23-05-2023,Laptop,722.15,West,250
23-05-2023,Keyboard,77.73,East,22.44
23-05-2023,Mouse,36.24,Central,8.95
23-05-2023,Smartphone,739.26,North,85.1
23-05-2023,Keyboard,75.39,West,28.02
23-05-2023,Monitor,516.65,East,177.57
23-05-2023,Keyboard,76.52,North,28.03
24-05-2023,Laptop,1180.69,South,191.99
24-05-2023,Mouse,25.76,West,9.7
24-05-2023,Smartphone,157.97,West,44.63
24-05-2023,Keyboard,28.22,East,8.49
25-05-2023,Keyboard,69.48,North,22.28
25-05-2023,Laptop,765.18,North,255.44
25-05-2023,Monitor,1098.39,North,279.35
25-05-2023,Laptop,994.58,East,337.99
26-05-2023,Laptop,1017.09,West,232.05
26-05-2023,Keyboard,44.74,South,10.45
26-05-2023,Monitor,369.88,East,79.08
26-05-2023,Keyboard,59.33,Central,15.29
27-05-2023,Mouse,67.62,East,25.21
28-05-2023,Laptop,1381.95,West,325.58
28-05-2023,Smartphone,892.19,West,106.71
28-05-2023,Tablet,801.27,South,143.06
28-05-2023,Keyboard,31.61,West,6.34
29-05-2023,Mouse,93.48,South,24.42
29-05-2023,Tablet,221.13,West,43.01
29-05-2023,Laptop,968.17,South,196.22
30-05-2023,Tablet,229.58,Central,42.73
30-05-2023,Tablet,836.08,South,249.78
30-05-2023,Tablet,862.3,Central,104.34
30-05-2023,Monitor,1120.85,North,377.39
30-05-2023,Keyboard,75.73,West,28.85
01-06-2023,Monitor,800.2,East,177.14
01-06-2023,Monitor,1478.39,South,299.39
02-06-2023,Laptop,369.96,Central,69.55
02-06-2023,Keyboard,49.69,West,12.62
02-06-2023,Monitor,1319.65,Central,274.85
02-06-2023,Keyboard,32.97,West,9.76
03-06-2023,Laptop,672.59,East,107.44
03-06-2023,Smartphone,601.31,Central,155.74
03-06-2023,Monitor,1381.84,South,446.8
03-06-2023,Keyboard,24.51,East,8.72
03-06-2023,Smartphone,808.79,West,174.68
03-06-2023,Smartphone,693.63,East,90.84
03-06-2023,Monitor,683.02,North,155.81
03-06-2023,Keyboard,88.72,South,20.89
04-06-2023,Monitor,357.78,North,67.82
04-06-2023,Laptop,1392.7,West,327.77
04-06-2023,Mouse,31.58,West,12.18
04-06-2023,Monitor,1084.72,West,352.88
04-06-2023,Smartphone,375.61,Central,53.78
04-06-2023,Laptop,1119.03,West,371.33
05-06-2023,Mouse,53.84,West,15.71
05-06-2023,Monitor,1189.16,West,206.63
05-06-2023,Mouse,52.8,Central,19.32
05-06-2023,Keyboard,96.22,South,33.41
06-06-2023,Monitor,1105.73,North,214.18
06-06-2023,Laptop,526.29,North,90.43
06-06-2023,Smartphone,526.77,West,150.07
07-06-2023,Mouse,67.4,East,15.65
08-06-2023,Monitor,800.88,North,122.52
08-06-2023,Laptop,461.78,East,86.89
08-06-2023,Keyboard,83.9,South,30
08-06-2023,Keyboard,42.35,East,16.17
09-06-2023,Tablet,666.83,West,74.29
10-06-2023,Tablet,624.78,West,182.15
10-06-2023,Keyboard,21.14,East,6.74
10-06-2023,Keyboard,21.43,East,6.7
10-06-2023,Tablet,627.26,East,165.25
10-06-2023,Mouse,97.3,West,29.2
10-06-2023,Tablet,235.48,West,51.56
11-06-2023,Monitor,515.48,East,144.02
11-06-2023,Keyboard,35.47,North,11.72
11-06-2023,Mouse,28.71,South,7.7
11-06-2023,Tablet,821.1,North,159.89
11-06-2023,Keyboard,85.05,East,17.57
11-06-2023,Keyboard,42.69,North,13.64
12-06-2023,Monitor,1251.53,South,325.02
12-06-2023,Smartphone,672.1,North,154.98
12-06-2023,Laptop,1257.7,North,310.24
13-06-2023,Keyboard,69.15,East,27.28
13-06-2023,Smartphone,313.06,East,39.21
13-06-2023,Laptop,620.73,Central,216.51
14-06-2023,Mouse,48.75,Central,15.71
